entry_line_key,voucher_natural_key,posting_date,voucher_type,voucher_number,voucher_entry_mode,party_ledger_name,gst_registration_name,company_state,ledger_name,credit_period,ledger_group_name,primary_group_name,is_party_ledger_line,has_cost_centres_on_ledger,cost_centre_name,narration,destination,currency,amount_absolute,amount_tally_signed,debit_credit_flag,signed_amount_debit_positive,pan,pan_derived_from_gstin,gstin,udyam_registration_number,msme_enterprise_category,msme_activity_type,msme_effective_from,party_entity_type,bill_to_name,bill_to_address,bill_to_state,bill_to_pin,ship_to_name,ship_to_address,ship_to_state,ship_to_pin,delivery_same_as_consignee,dispatch_same_as_consignor,eway_consignor_address,eway_consignee_address,e_way_bill_number,e_way_bill_date,e_invoice_irn,e_invoice_ack_number,e_invoice_ack_date,is_reverse_charge_applicable,is_unregistered_rcm,stock_item_name,stock_group_name,godown_name,batch_name,quantity,rate,inventory_amount,line_index,inventory_line_index,bill_line_index,ledger_opening_balance,tax_type,stock_opening_balance,stock_opening_value,bill_name,bill_date,bill_amount,bill_allocated_amount,bill_type,batch_mfg_date,batch_expiry_period,batch_tracking_number,batch_order_no,party_invoice_no,party_invoice_date,original_voucher_number,original_voucher_date,agreement_order_no,goods_vehicle_number,reference
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000020|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000020,2025-04-01,Receipt,2,As Voucher,Cash,Gujarat Registration,Gujarat,Customer2,,Sundry Debtors,Current Assets,Yes,No,,,,?,9700.00,9700.00,Cr,-9700.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,1,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000028|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000028,2025-04-01,Receipt,5,As Voucher,Cash,Gujarat Registration,Gujarat,Cash,,Cash-in-Hand,Current Assets,Yes,No,,,,?,6797.00,-6797.00,Dr,6797.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,-578800.00,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000028|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000028,2025-04-01,Receipt,5,As Voucher,Cash,Gujarat Registration,Gujarat,Customer2,,Sundry Debtors,Current Assets,Yes,No,,,,?,6797.00,6797.00,Cr,-6797.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,1,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000030|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000030,2025-04-01,Payment,8,As Voucher,Vendor,Gujarat Registration,Gujarat,Vendor,,Sundry Creditors,Current Liabilities,Yes,No,,,,?,8228.00,-8228.00,Dr,8228.00,,,,,Micro,Unknown,20250401,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000030|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000030,2025-04-01,Payment,8,As Voucher,Vendor,Gujarat Registration,Gujarat,Cash,,Cash-in-Hand,Current Assets,Yes,No,,,,?,8228.00,8228.00,Cr,-8228.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,1,-1,0,-578800.00,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000038|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000038,2025-04-01,Payment,17,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Vendor 2,,Sundry Creditors,Current Liabilities,Yes,No,,,,?,7953.00,-7953.00,Dr,7953.00,,,24,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000038|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000038,2025-04-01,Payment,17,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Cash,,Cash-in-Hand,Current Assets,Yes,No,,,,?,7953.00,7953.00,Cr,-7953.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,1,-1,0,-578800.00,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000040|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000040,2025-04-01,Payment,29,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Vendor 2,,Sundry Creditors,Current Liabilities,Yes,No,,,,?,2784.00,-2784.00,Dr,2784.00,,,24,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000040|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b3:00000040,2025-04-01,Payment,29,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Cash,,Cash-in-Hand,Current Assets,Yes,No,,,,?,2784.00,2784.00,Cr,-2784.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,1,-1,0,-578800.00,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000008|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000008,2025-04-02,Sales,25,As Voucher,Customer1,Gujarat Registration,Gujarat,Customer1,,Sundry Debtors,Current Assets,Yes,No,,,,?,51220.26,-51220.26,Dr,51220.26,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000008|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000008,2025-04-02,Sales,25,As Voucher,Customer1,Gujarat Registration,Gujarat,Sales,,Sales Accounts,Sales Accounts,No,Yes,,,,?,43407.00,43407.00,Cr,-43407.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,Keyboard,Computer and Accessories,Main Location,Primary Batch,-9 Nos,4823.00/Nos,43407.00,1,0,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000008|2|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000008,2025-04-02,Sales,25,As Voucher,Customer1,Gujarat Registration,Gujarat,CGST,,Current Liabilities,Current Liabilities,No,No,,,,?,7813.26,7813.26,Cr,-7813.26,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,2,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000010|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000010,2025-04-02,Sales,38,As Voucher,Customer1,Gujarat Registration,Gujarat,Customer1,,Sundry Debtors,Current Assets,Yes,No,,,,?,19295.36,-19295.36,Dr,19295.36,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000010|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000010,2025-04-02,Sales,38,As Voucher,Customer1,Gujarat Registration,Gujarat,Sales,,Sales Accounts,Sales Accounts,No,Yes,,,,?,16352.00,16352.00,Cr,-16352.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,Mouse,Computer and Accessories,Main Location,Primary Batch,-4 Nos,4088.00/Nos,16352.00,1,0,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000010|2|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000010,2025-04-02,Sales,38,As Voucher,Customer1,Gujarat Registration,Gujarat,IGST,,Current Liabilities,Current Liabilities,No,No,,,,?,2943.36,2943.36,Cr,-2943.36,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,2,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000018|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000018,2025-04-02,Purchase,7,As Voucher,Vendor,Gujarat Registration,Gujarat,Vendor,,Sundry Creditors,Current Liabilities,Yes,No,,,,?,24435.44,24435.44,Cr,-24435.44,,,,,Micro,Unknown,20250401,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000018|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000018,2025-04-02,Purchase,7,As Voucher,Vendor,Gujarat Registration,Gujarat,Purchases,,Purchase Accounts,Purchase Accounts,No,Yes,,,,?,20708.00,-20708.00,Dr,20708.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,Mouse,Computer and Accessories,Main Location,Primary Batch,31 Nos,668.00/Nos,-20708.00,1,0,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000018|2|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000018,2025-04-02,Purchase,7,As Voucher,Vendor,Gujarat Registration,Gujarat,CGST,,Current Liabilities,Current Liabilities,No,No,,,,?,3727.44,-3727.44,Dr,3727.44,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,2,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000020|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000020,2025-04-02,Purchase,16,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Vendor 2,,Sundry Creditors,Current Liabilities,Yes,No,,,,?,182653.38,182653.38,Cr,-182653.38,,,24,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000020|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000020,2025-04-02,Purchase,16,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Purchases,,Purchase Accounts,Purchase Accounts,No,Yes,,,,?,154791.00,-154791.00,Dr,154791.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,Mouse,Computer and Accessories,Main Location,Primary Batch,49 Nos,3159.00/Nos,-154791.00,1,0,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000020|2|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000020,2025-04-02,Purchase,16,As Voucher,Vendor 2,Gujarat Registration,Gujarat,CGST,,Current Liabilities,Current Liabilities,No,No,,,,?,27862.38,-27862.38,Dr,27862.38,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,2,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000028|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000028,2025-04-02,Purchase,35,As Voucher,Vendor,Gujarat Registration,Gujarat,Vendor,,Sundry Creditors,Current Liabilities,Yes,No,,,,?,182727.72,182727.72,Cr,-182727.72,,,,,Micro,Unknown,20250401,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000028|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000028,2025-04-02,Purchase,35,As Voucher,Vendor,Gujarat Registration,Gujarat,Purchases,,Purchase Accounts,Purchase Accounts,No,Yes,,,,?,154854.00,-154854.00,Dr,154854.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,Keyboard,Computer and Accessories,Main Location,Primary Batch,42 Nos,3687.00/Nos,-154854.00,1,0,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000028|2|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000028,2025-04-02,Purchase,35,As Voucher,Vendor,Gujarat Registration,Gujarat,SGST,,Current Liabilities,Current Liabilities,No,No,,,,?,27873.72,-27873.72,Dr,27873.72,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,2,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000030|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000030,2025-04-02,Payment,20,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Vendor 2,,Sundry Creditors,Current Liabilities,Yes,No,,,,?,4339.00,-4339.00,Dr,4339.00,,,24,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000030|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2b4:00000030,2025-04-02,Payment,20,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Cash,,Cash-in-Hand,Current Assets,Yes,No,,,,?,4339.00,4339.00,Cr,-4339.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,1,-1,0,-578800.00,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000008|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000008,2025-05-01,Sales,14,As Voucher,Customer1,Gujarat Registration,Gujarat,Customer1,,Sundry Debtors,Current Assets,Yes,No,,,,?,23523.30,-23523.30,Dr,23523.30,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000008|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000008,2025-05-01,Sales,14,As Voucher,Customer1,Gujarat Registration,Gujarat,Sales,,Sales Accounts,Sales Accounts,No,Yes,,,,?,19935.00,19935.00,Cr,-19935.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,Mouse,Computer and Accessories,Main Location,Primary Batch,-5 Nos,3987.00/Nos,19935.00,1,0,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000008|2|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000008,2025-05-01,Sales,14,As Voucher,Customer1,Gujarat Registration,Gujarat,SGST,,Current Liabilities,Current Liabilities,No,No,,,,?,3588.30,3588.30,Cr,-3588.30,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,2,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000010|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000010,2025-05-01,Purchase,32,As Voucher,Vendor,Gujarat Registration,Gujarat,Vendor,,Sundry Creditors,Current Liabilities,Yes,No,,,,?,155742.30,155742.30,Cr,-155742.30,,,,,Micro,Unknown,20250401,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000010|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000010,2025-05-01,Purchase,32,As Voucher,Vendor,Gujarat Registration,Gujarat,Purchases,,Purchase Accounts,Purchase Accounts,No,Yes,,,,?,131985.00,-131985.00,Dr,131985.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,Keyboard,Computer and Accessories,Main Location,Primary Batch,45 Nos,2933.00/Nos,-131985.00,1,0,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000010|2|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000010,2025-05-01,Purchase,32,As Voucher,Vendor,Gujarat Registration,Gujarat,CGST,,Current Liabilities,Current Liabilities,No,No,,,,?,23757.30,-23757.30,Dr,23757.30,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,2,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000018|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000018,2025-05-01,Payment,1,As Voucher,Vendor,Gujarat Registration,Gujarat,Vendor,,Sundry Creditors,Current Liabilities,Yes,No,,,,?,4352.00,-4352.00,Dr,4352.00,,,,,Micro,Unknown,20250401,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000018|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000018,2025-05-01,Payment,1,As Voucher,Vendor,Gujarat Registration,Gujarat,Cash,,Cash-in-Hand,Current Assets,Yes,No,,,,?,4352.00,4352.00,Cr,-4352.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,1,-1,0,-578800.00,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000020|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000020,2025-05-01,Payment,32,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Vendor 2,,Sundry Creditors,Current Liabilities,Yes,No,,,,?,7887.00,-7887.00,Dr,7887.00,,,24,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000020|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d1:00000020,2025-05-01,Payment,32,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Cash,,Cash-in-Hand,Current Assets,Yes,No,,,,?,7887.00,7887.00,Cr,-7887.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,1,-1,0,-578800.00,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d2:00000008|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d2:00000008,2025-05-02,Sales,30,As Voucher,Customer2,Gujarat Registration,Gujarat,Customer2,,Sundry Debtors,Current Assets,Yes,No,,,,?,23929.22,-23929.22,Dr,23929.22,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d2:00000008|1|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d2:00000008,2025-05-02,Sales,30,As Voucher,Customer2,Gujarat Registration,Gujarat,Sales,,Sales Accounts,Sales Accounts,No,Yes,,,,?,20279.00,20279.00,Cr,-20279.00,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,Keyboard,Computer and Accessories,Main Location,Primary Batch,-7 Nos,2897.00/Nos,20279.00,1,0,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d2:00000008|2|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d2:00000008,2025-05-02,Sales,30,As Voucher,Customer2,Gujarat Registration,Gujarat,IGST,,Current Liabilities,Current Liabilities,No,No,,,,?,3650.22,3650.22,Cr,-3650.22,,,,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,2,-1,0,,Others,,,,,,,,,,,,,,,,,,
102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d2:00000010|0|0,102cbfb6-adcd-4ff1-94c1-882d1232cd68-0000b2d2:00000010,2025-05-02,Purchase,12,As Voucher,Vendor 2,Gujarat Registration,Gujarat,Vendor 2,,Sundry Creditors,Current Liabilities,Yes,No,,,,?,5251.00,5251.00,Cr,-5251.00,,,24,,,,,,,,,,,,,,No,No,,,,,,,,No,No,,,,,,,,0,-1,0,,Others,,,,,,,,,,,,,,,,,,
